,Unnamed: 0,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
235,235,4.0,2.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2.0,18,1.0,1
236,236,1.0,2.0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1.0,7,1.0,1
237,237,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,15,2.0,0
238,238,4.0,1.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1.0,18,2.0,1
239,239,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,7,1.0,1
240,240,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,18,2.0,1
241,241,2.0,1.0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,4.0,7,2.0,1
242,242,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0,18,2.0,1
243,243,4.0,2.0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,6.0,7,2.0,1
244,244,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,7,1.0,1
245,245,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1.0,7,1.0,0
246,246,2.0,1.0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3.0,7,2.0,1
247,247,1.0,1.0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2.0,7,2.0,1
248,248,2.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1.0,7,2.0,0
249,249,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,7,2.0,1
250,250,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,7,2.0,1
251,251,4.0,3.0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,3.0,7,2.0,1
252,252,3.0,1.0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,2.0,7,2.0,1
253,253,4.0,3.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,3.0,7,1.0,1
