,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
11966,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3.0,0,1.0,1
11967,3.0,1.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0,2.0,1
11968,4.0,2.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.0,0,2.0,1
11969,1.0,2.0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,2.0,0,1.0,1
11970,1.0,3.0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,4.0,0,2.0,1
11971,2.0,5.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11972,3.0,5.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0,1.0,1
11973,2.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.0,0,2.0,1
11974,2.0,1.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,2.0,0,2.0,1
11975,4.0,2.0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,2.0,0,1.0,1
11976,1.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11977,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11978,1.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11979,1.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,2.0,1
11980,1.0,5.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6.0,0,2.0,1
11981,2.0,1.0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,4.0,0,1.0,1
11982,1.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2.0,0,2.0,1
11983,1.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,5.0,0,1.0,1
11984,4.0,2.0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,2.0,0,2.0,1
11985,1.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1.0,1
11986,1.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,2.0,1
11987,1.0,5.0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,2.0,0,2.0,1
11988,4.0,3.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11989,2.0,5.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1
11990,4.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.0,0,1.0,1
11991,2.0,5.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3.0,0,1.0,1
11992,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2.0,0,1.0,1
11993,2.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11994,2.0,1.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11995,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11996,4.0,2.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,4.0,0,1.0,1
11997,4.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11998,2.0,1.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,4.0,0,2.0,1
11999,2.0,1.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,3.0,0,2.0,1
12000,2.0,1.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1.0,0,1.0,1
12001,2.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2.0,0,2.0,1
12002,3.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2.0,0,2.0,1
12003,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6.0,0,1.0,0
12004,1.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
12005,2.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
12006,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,2.0,1
12007,3.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,0,2.0,1
